word,length,lines_ocurrences_list,lines_count_list,total_count
his,3,1;5;15,1;1;1,3
audiam,6,1,1,1
deserunt,8,1,1,1
in,2,1;5;6;11;14,2;1;1;2;1,7
eum,3,1;6;7;11,1;1;1;1,4
ubique,6,1,1,1
voluptatibus,12,1,1,1
te,2,1;2;3;12,1;1;1;1,4
reque,5,1,1,1
dicta,5,1;15,1;1,2
usu,3,1;3;5;6,1;1;1;1,4
ne,2,1;6,1;1,2
rebum,5,1,1,1
dissentiet,10,1,1,1
eam,3,1;5;14;15,1;1;1;1,4
vim,3,1,1,1
omnis,5,1,1,1
deseruisse,10,1,1,1
id,2,1;7;14,1;1;1,3
ullum,5,1,1,1
deleniti,8,1,1,1
vituperata,10,2,1,1
at,2,2;5;11,1;1;1,3
quo,3,2,1,1
insolens,8,2,1,1
complectitur,12,2,1,1
eos,3,2,1,1
ea,2,2;5;6;10;14;15,1;1;2;1;1;1,7
pri,3,2,1,1
dico,4,2,1,1
munere,6,2,1,1
propriae,8,2,1,1
vel,3,2;11,1;2,3
ferri,5,2,1,1
facilis,7,2,1,1
ut,2,2;7;9;10;15,1;1;1;2;1,6
qui,3,2;3;12;14,1;1;1;1,4
paulo,5,2,1,1
ridens,6,2,1,1
praesent,8,2;12,1;1,2
ad,2,2;10,1;1,2
possim,6,2,1,1
alterum,7,3;14,1;1,2
cu,2,3,2,2
accusamus,9,3,1,1
consulatu,9,3,1,1
ius,3,3;6,1;1,2
decore,6,3,1,1
soleat,6,3;14,1;1,2
appareat,8,3,1,1
expetenda,9,5,1,1
tincidunt,9,5;9,2;1,3
sed,3,5;9,1;1,2
ex,2,5;6;10,2;1;1,4
partem,6,5,1,1
placerat,8,5,1,1
sea,3,5,1,1
porro,5,5,1,1
commodo,7,5;10,1;1,2
putant,6,5,1,1
aeterno,7,5,1,1
interesset,10,5,1,1
mundi,5,5,1,1
omnium,6,5,1,1
virtute,7,6,1,1
aliquando,9,6,1,1
aperiri,7,6,1,1
sententiae,10,6,1,1
duo,3,6,1,1
nullam,6,6,1,1
dolorum,7,6,1,1
quaestio,8,6,1,1
ei,2,6,1,1
sit,3,6;9,1;1,2
vidit,5,6;15,1;1,2
facilisis,9,6;11,1;1,2
per,3,6;14,1;1,2
impedit,7,6,1,1
iracundia,9,6,1,1
neglegentur,11,7,2,2
consetetur,10,7,1,1
vis,3,7,1,1
animal,6,7,1,1
legimus,7,7,1,1
inimicus,8,7,1,1
lorem,5,9;14,1;1,2
ipsum,5,9,1,1
dolor,5,9;11,1;1,2
amet,4,9,1,1
consectetuer,12,9,1,1
adipiscing,10,9,1,1
elit,4,9,1,1
diam,4,9,1,1
nonummy,7,9,1,1
nibh,4,9,1,1
euismod,7,9,1,1
laoreet,7,9,1,1
dolore,6,9;11;12,1;1;1,3
magna,5,9,1,1
aliquam,7,9,1,1
erat,4,9,1,1
volutpat,8,10,1,1
wisi,4,10,1,1
enim,4,10,1,1
minim,5,10,1,1
veniam,6,10,1,1
quis,4,10,1,1
nostrud,7,10,1,1
exerci,6,10,1,1
tation,6,10,1,1
ullamcorper,11,10,1,1
suscipit,8,10,1,1
lobortis,8,10;14,1;1,2
nisl,4,10,1,1
aliquip,7,10,1,1
consequat,9,10;11,1;1,2
duis,4,10;12,1;1,2
autem,5,11,1,1
iriure,6,11;14,1;1,2
hendrerit,9,11,1,1
vulputate,9,11,1,1
velit,5,11,1,1
esse,4,11,1,1
molestie,8,11,1,1
illum,5,11,1,1
eu,2,11;14,1;2,3
feugiat,7,11,1,1
nulla,5,11;12,1;1,2
vero,4,11,1,1
eros,4,11,1,1
et,2,12;15,2;1,3
accumsan,8,12,1,1
iusto,5,12,1,1
odio,4,12,1,1
dignissim,9,12,1,1
blandit,7,12,1,1
luptatum,8,12,1,1
zzril,5,12,1,1
delenit,7,12,1,1
augue,5,12,1,1
feugait,7,12,1,1
facilisi,8,12,1,1
salutandi,9,14,1,1
mea,3,14,1,1
assentior,9,14,1,1
tamquam,7,14,1,1
sanctus,7,14,1,1
democritum,10,14,1,1
mei,3,14,1,1
electram,8,14,1,1
adversarium,11,15,1,1
vix,3,15,1,1
probo,5,15,1,1
iuvaret,7,15,1,1
posse,5,15,1,1
epicurei,8,15,1,1
suavitate,9,15,1,1
an,2,15,1,1
nam,3,15,1,1
menandri,8,15,1,1
accusata,8,15,1,1
petentium,9,15,1,1
